bookingid,arrivalyear,arrivalmonth,arrivalweeknumber,arrivaldayofmonth,arrivalhour,weekendstays,weekdaystays,adults,children,babies,firsttimeguest,affiliatedcustomer,previousreservations,previousstays,previouscancellations,daysuntilconfirmation,onlinereservation,bookingchanges,bookingtoarrivaldays,parkingspacesbooked,specialrequests,partofgroup,orderedmealsperday,floorreserved,floorassigned,dailyrateeuros,dailyrateusd,percent_paid_in_advance,country_income_euros_y2,country_income_euros_y1,country_hdi_y1,totalstaydays,totalguests,childrenratio,babiesratio,hour,minute,arrivaltime,arrivaltimeofday,confirmationtoarrivaldays,isrepeatguest,incomechange
36729,2016,1,1,1,23.0,2,3,2,0,0,1,0,0,0,0,0,1,0,32,0,1,0,1,6,3,60.0,59.4,0.0,40141.59,40833.24,0.898,5,2,0.0,0.0,23,0,2016-01-01 23:00:00,evening,32,0,691.6500000000015
36247,2016,1,1,2,14.5,2,1,2,0,0,1,0,0,0,0,0,1,2,44,0,0,0,2,6,3,98.0,97.02,0.0,28742.44,29668.86,0.842,3,2,0.0,0.0,14,30,2016-01-02 14:30:00,afternoon,44,0,926.4200000000019
39392,2016,1,1,2,15.0,2,1,2,0,0,1,0,0,0,0,91,1,0,150,0,0,0,2,6,6,101.0,99.99,1.0,28742.44,29668.86,0.842,3,2,0.0,0.0,15,0,2016-01-02 15:00:00,afternoon,59,0,926.4200000000019
28080,2016,1,1,2,15.0,1,1,2,0,0,1,0,0,0,0,0,0,0,44,0,0,0,1,6,6,2.0,1.98,0.0,28742.44,29668.86,0.842,2,2,0.0,0.0,15,0,2016-01-02 15:00:00,afternoon,44,0,926.4200000000019
17889,2016,1,1,2,15.0,2,1,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,6,6,97.0,96.03,0.0,33525.74,34912.48,0.885,3,2,0.0,0.0,15,0,2016-01-02 15:00:00,afternoon,1,0,1386.7400000000052
13789,2016,1,1,2,16.0,2,1,2,0,0,1,0,0,0,0,0,1,0,23,0,1,0,2,6,6,109.0,107.91,0.0,36194.87,36909.33,0.876,3,2,0.0,0.0,16,0,2016-01-02 16:00:00,afternoon,23,0,714.4599999999991
17738,2016,1,1,2,16.25,2,1,2,0,0,1,0,0,0,0,0,1,2,44,0,1,0,2,6,6,98.0,97.02,0.0,28742.44,29668.86,0.842,3,2,0.0,0.0,16,15,2016-01-02 16:15:00,afternoon,44,0,926.4200000000019
37433,2016,1,1,2,16.5,0,1,2,0,0,1,0,0,0,0,0,1,0,18,0,1,0,1,6,6,109.0,107.91,0.0,28742.44,29668.86,0.842,1,2,0.0,0.0,16,30,2016-01-02 16:30:00,afternoon,18,0,926.4200000000019
14067,2016,1,1,2,17.25,2,1,2,0,0,1,0,0,0,0,0,1,0,44,0,0,0,2,6,6,98.0,97.02,0.0,28742.44,29668.86,0.842,3,2,0.0,0.0,17,15,2016-01-02 17:15:00,afternoon,44,0,926.4200000000019
37585,2016,1,1,2,17.5,2,1,2,0,0,0,0,0,0,0,0,1,2,23,0,0,0,2,6,6,109.0,107.91,0.0,36194.87,36909.33,0.876,3,2,0.0,0.0,17,30,2016-01-02 17:30:00,afternoon,23,0,714.4599999999991
19728,2016,1,1,2,17.5,2,1,2,0,0,1,0,0,0,0,0,1,0,44,0,1,0,2,6,6,98.0,97.02,0.0,28742.44,29668.86,0.842,3,2,0.0,0.0,17,30,2016-01-02 17:30:00,afternoon,44,0,926.4200000000019
27425,2016,1,1,2,17.75,2,1,2,0,0,1,0,0,0,0,0,1,0,44,0,0,0,2,6,3,98.0,97.02,0.0,28742.44,29668.86,0.842,3,2,0.0,0.0,17,45,2016-01-02 17:45:00,afternoon,44,0,926.4200000000019
31002,2016,1,1,2,18.0,0,1,2,0,0,1,0,1,0,1,0,1,0,52,0,0,0,1,6,6,70.0,69.3,0.0,28742.44,29668.86,0.842,1,2,0.0,0.0,18,0,2016-01-02 18:00:00,evening,52,1,926.4200000000019
17810,2016,1,1,2,18.0,2,1,2,0,0,1,0,0,0,0,0,1,0,10,0,0,0,1,5,5,83.58,82.74419999999999,0.0,33525.74,34912.48,0.885,3,2,0.0,0.0,18,0,2016-01-02 18:00:00,evening,10,0,1386.7400000000052
15575,2016,1,1,2,18.5,2,3,2,0,0,1,0,0,0,0,0,1,0,25,0,0,0,1,6,6,91.0,90.09,0.0,47011.55,47683.79,0.933,5,2,0.0,0.0,18,30,2016-01-02 18:30:00,evening,25,0,672.239999999998
11563,2016,1,1,2,20.0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6,6,86.0,85.14,0.0,47011.55,47683.79,0.933,2,1,0.0,0.0,20,0,2016-01-02 20:00:00,evening,0,0,672.239999999998
36584,2016,1,1,2,20.25,1,1,1,0,0,1,0,0,0,0,0,1,0,4,0,2,0,1,6,6,97.0,96.03,0.0,28742.44,29668.86,0.842,2,1,0.0,0.0,20,15,2016-01-02 20:15:00,evening,4,0,926.4200000000019
28541,2016,1,1,2,20.25,2,4,2,0,0,1,0,0,0,0,0,1,0,2,0,0,0,2,6,6,86.32,85.45679999999999,0.0,40141.59,40833.24,0.898,6,2,0.0,0.0,20,15,2016-01-02 20:15:00,evening,2,0,691.6500000000015
19225,2016,1,1,2,20.75,2,2,2,0,0,1,0,0,0,0,0,1,0,12,0,1,0,1,6,6,92.0,91.08,0.0,16358.39,15813.86,0.757,4,2,0.0,0.0,20,45,2016-01-02 20:45:00,evening,12,0,-544.5299999999988
10880,2016,1,1,2,21.5,2,1,1,0,0,1,0,0,0,0,0,1,1,4,0,0,0,2,6,6,87.0,86.13,0.0,36194.87,36909.33,0.876,3,1,0.0,0.0,21,30,2016-01-02 21:30:00,evening,4,0,714.4599999999991
37589,2016,1,1,2,21.5,2,1,2,0,0,1,0,0,0,0,0,1,0,4,0,0,0,2,6,6,109.0,107.91,0.0,36194.87,36909.33,0.876,3,2,0.0,0.0,21,30,2016-01-02 21:30:00,evening,4,0,714.4599999999991
15675,2016,1,1,2,22.0,2,3,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,6,6,88.0,87.12,0.0,28742.44,29668.86,0.842,5,1,0.0,0.0,22,0,2016-01-02 22:00:00,evening,2,0,926.4200000000019
30882,2016,1,1,2,22.5,2,1,1,0,0,1,0,0,0,0,0,1,1,44,0,0,0,2,6,6,74.0,73.26,0.0,28742.44,29668.86,0.842,3,1,0.0,0.0,22,30,2016-01-02 22:30:00,evening,44,0,926.4200000000019
25458,2016,1,1,2,23.0,2,1,2,0,0,1,0,0,0,0,0,1,0,31,0,0,0,1,6,3,69.0,68.31,0.0,33525.74,34912.48,0.885,3,2,0.0,0.0,23,0,2016-01-02 23:00:00,evening,31,0,1386.7400000000052
37648,2016,1,1,2,23.0,2,1,2,0,0,1,0,1,0,1,0,1,0,23,0,0,0,2,6,6,107.0,105.93,0.0,28742.44,29668.86,0.842,3,2,0.0,0.0,23,0,2016-01-02 23:00:00,evening,23,1,926.4200000000019
19325,2016,1,1,2,23.5,2,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,6,3,97.0,96.03,0.0,33525.74,34912.48,0.885,3,2,0.0,0.0,23,30,2016-01-02 23:30:00,evening,1,0,1386.7400000000052
34440,2016,1,1,2,23.5,2,1,2,0,0,1,0,0,0,0,0,1,2,44,0,0,0,2,6,3,98.0,97.02,0.0,36194.87,36909.33,0.876,3,2,0.0,0.0,23,30,2016-01-02 23:30:00,evening,44,0,714.4599999999991
28775,2016,1,1,2,23.5,2,2,2,0,0,1,0,0,0,0,0,1,0,4,0,0,0,1,6,6,99.0,98.01,0.0,40141.59,40833.24,0.898,4,2,0.0,0.0,23,30,2016-01-02 23:30:00,evening,4,0,691.6500000000015
29564,2016,1,1,2,23.75,1,1,2,0,0,1,0,0,0,0,0,1,0,6,1,1,0,1,3,3,123.0,121.77,0.0,33525.74,34912.48,0.885,2,2,0.0,0.0,23,45,2016-01-02 23:45:00,evening,6,0,1386.7400000000052
37588,2016,1,2,3,16.25,2,1,2,2,0,1,0,0,0,0,0,1,2,1,0,0,0,1,6,1,92.0,91.08,0.0,40141.59,40833.24,0.898,3,4,0.5,0.0,16,15,2016-01-03 16:15:00,afternoon,1,0,691.6500000000015
32168,2016,1,2,3,16.5,2,1,2,0,0,1,0,0,0,0,85,1,0,145,0,0,0,1,6,6,65.0,64.35,1.0,28742.44,29668.86,0.842,3,2,0.0,0.0,16,30,2016-01-03 16:30:00,afternoon,60,0,926.4200000000019
36796,2016,1,2,3,17.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6,2,81.0,80.19,0.0,28742.44,29668.86,0.842,1,1,0.0,0.0,17,0,2016-01-03 17:00:00,afternoon,0,0,926.4200000000019
17556,2016,1,2,3,17.25,1,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,6,6,75.0,74.25,0.0,52550.79,53897.94,0.854,1,2,0.0,0.0,17,15,2016-01-03 17:15:00,afternoon,1,0,1347.1500000000015
26619,2016,1,2,3,17.5,1,0,2,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,3,3,79.6,78.80399999999999,0.0,28742.44,29668.86,0.842,1,2,0.0,0.0,17,30,2016-01-03 17:30:00,afternoon,2,0,926.4200000000019
26478,2016,1,2,3,19.25,2,0,2,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,6,6,67.66,66.98339999999999,0.0,55032.96,56803.47,0.92,2,2,0.0,0.0,19,15,2016-01-03 19:15:00,evening,2,0,1770.510000000002
25047,2016,1,2,3,19.25,2,1,2,0,0,1,0,0,0,0,0,1,0,102,0,2,0,1,3,3,48.67,48.1833,0.0,47011.55,47683.79,0.933,3,2,0.0,0.0,19,15,2016-01-03 19:15:00,evening,102,0,672.239999999998
19658,2016,1,2,3,19.75,2,0,2,0,0,1,0,0,0,0,0,1,0,2,1,0,0,1,6,6,80.6,79.794,0.0,33525.74,34912.48,0.885,2,2,0.0,0.0,19,45,2016-01-03 19:45:00,evening,2,0,1386.7400000000052
15113,2016,1,2,3,21.75,2,2,2,0,0,1,0,0,0,0,0,1,0,66,1,0,0,1,6,6,106.0,104.94,0.0,28742.44,29668.86,0.842,4,2,0.0,0.0,21,45,2016-01-03 21:45:00,evening,66,0,926.4200000000019
33120,2016,1,2,3,22.0,1,0,2,0,0,1,0,0,0,0,0,1,4,31,0,1,0,1,5,5,71.52,70.8048,0.0,16358.39,15813.86,0.757,1,2,0.0,0.0,22,0,2016-01-03 22:00:00,evening,31,0,-544.5299999999988
15501,2016,1,2,3,22.0,2,4,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,6,6,54.0,53.46,0.0,41757.4,42535.48,0.915,6,1,0.0,0.0,22,0,2016-01-03 22:00:00,evening,3,0,778.0800000000017
20000,2016,1,2,3,22.5,2,1,2,0,0,1,0,0,0,0,0,1,0,33,0,0,0,1,6,6,71.84,71.1216,0.0,28742.44,29668.86,0.842,3,2,0.0,0.0,22,30,2016-01-03 22:30:00,evening,33,0,926.4200000000019
12645,2016,1,2,4,14.0,1,0,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,3,3,99.0,98.01,0.0,61902.13,63938.99,0.942,1,2,0.0,0.0,14,0,2016-01-04 14:00:00,afternoon,1,0,2036.8600000000006
27332,2016,1,2,4,14.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,3,3,108.0,106.92,0.0,41259.0,42509.89,0.918,1,1,0.0,0.0,14,0,2016-01-04 14:00:00,afternoon,0,0,1250.8899999999994
27268,2016,1,2,4,14.75,1,0,2,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,3,3,106.0,104.94,0.0,47011.55,47683.79,0.933,1,2,0.0,0.0,14,45,2016-01-04 14:45:00,afternoon,1,0,672.239999999998
21259,2016,1,2,4,15.0,1,2,1,0,0,1,0,0,0,0,0,1,1,20,0,0,0,1,6,6,79.0,78.21,0.0,40141.59,40833.24,0.898,3,1,0.0,0.0,15,0,2016-01-04 15:00:00,afternoon,20,0,691.6500000000015
23537,2016,1,2,4,16.25,1,2,1,0,0,0,0,17,15,2,0,0,0,0,0,0,0,1,6,6,66.0,65.34,0.0,28742.44,29668.86,0.842,3,1,0.0,0.0,16,15,2016-01-04 16:15:00,afternoon,0,1,926.4200000000019
25337,2016,1,2,4,18.0,1,1,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,6,6,86.0,85.14,0.0,28742.44,29668.86,0.842,2,2,0.0,0.0,18,0,2016-01-04 18:00:00,evening,1,0,926.4200000000019
30125,2016,1,2,4,19.25,1,1,2,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,6,6,75.0,74.25,0.0,36194.87,36909.33,0.876,2,2,0.0,0.0,19,15,2016-01-04 19:15:00,evening,2,0,714.4599999999991
15796,2016,1,2,4,20.0,1,3,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,6,6,41.0,40.59,0.0,28742.44,29668.86,0.842,4,2,0.0,0.0,20,0,2016-01-04 20:00:00,evening,0,0,926.4200000000019
16611,2016,1,2,4,20.75,1,3,3,0,0,1,0,0,0,0,0,1,0,28,0,1,0,1,6,6,122.0,120.78,0.0,33525.74,34912.48,0.885,4,3,0.0,0.0,20,45,2016-01-04 20:45:00,evening,28,0,1386.7400000000052
21520,2016,1,2,4,21.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,6,65.0,64.35,0.0,28742.44,29668.86,0.842,1,1,0.0,0.0,21,0,2016-01-04 21:00:00,evening,0,0,926.4200000000019
27081,2016,1,2,4,21.75,1,0,1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,6,6,76.0,75.24,0.0,40141.59,40833.24,0.898,1,1,0.0,0.0,21,45,2016-01-04 21:45:00,evening,2,0,691.6500000000015
21079,2016,1,2,4,22.25,1,2,1,0,0,1,0,0,0,0,0,1,0,7,0,0,0,1,6,6,82.0,81.17999999999999,0.0,33525.74,34912.48,0.885,3,1,0.0,0.0,22,15,2016-01-04 22:15:00,evening,7,0,1386.7400000000052
39014,2016,1,2,4,23.25,1,3,2,0,0,1,0,0,0,0,0,1,0,11,0,0,0,1,6,6,70.0,69.3,0.0,40141.59,40833.24,0.898,4,2,0.0,0.0,23,15,2016-01-04 23:15:00,evening,11,0,691.6500000000015
26021,2016,1,2,5,14.5,0,5,2,2,0,1,1,1,0,1,0,1,0,87,0,0,0,1,1,1,153.0,151.47,0.0,28742.44,29668.86,0.842,5,4,0.5,0.0,14,30,2016-01-05 14:30:00,afternoon,87,1,926.4200000000019
39342,2016,1,2,5,17.25,0,2,1,0,0,0,0,6,6,0,0,0,0,1,0,0,0,1,6,6,66.0,65.34,0.0,28742.44,29668.86,0.842,2,1,0.0,0.0,17,15,2016-01-05 17:15:00,afternoon,1,1,926.4200000000019
18101,2016,1,2,5,18.5,0,3,2,0,0,1,0,0,0,0,0,1,0,35,0,0,0,1,6,3,60.0,59.4,0.0,40141.59,40833.24,0.898,3,2,0.0,0.0,18,30,2016-01-05 18:30:00,evening,35,0,691.6500000000015
20940,2016,1,2,5,19.25,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,6,85.0,84.15,0.0,28742.44,29668.86,0.842,1,2,0.0,0.0,19,15,2016-01-05 19:15:00,evening,0,0,926.4200000000019
26635,2016,1,2,5,20.0,0,1,1,0,0,0,0,4,4,0,0,0,0,1,0,0,0,1,6,6,76.0,75.24,0.0,28742.44,29668.86,0.842,1,1,0.0,0.0,20,0,2016-01-05 20:00:00,evening,1,1,926.4200000000019
13045,2016,1,2,5,21.0,4,13,2,0,0,1,0,0,0,0,0,0,6,1,0,0,0,1,6,6,70.67,69.9633,0.0,28742.44,29668.86,0.842,17,2,0.0,0.0,21,0,2016-01-05 21:00:00,evening,1,0,926.4200000000019
39907,2016,1,2,5,22.5,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,6,6,77.0,76.23,0.0,28742.44,29668.86,0.842,1,2,0.0,0.0,22,30,2016-01-05 22:30:00,evening,1,0,926.4200000000019
24290,2016,1,2,5,22.75,0,1,2,0,0,1,0,0,0,0,0,1,0,12,0,0,0,1,6,6,58.0,57.42,0.0,28742.44,29668.86,0.842,1,2,0.0,0.0,22,45,2016-01-05 22:45:00,evening,12,0,926.4200000000019
12223,2016,1,2,5,23.0,0,2,2,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,6,6,44.0,43.56,0.0,33525.74,34912.48,0.885,2,2,0.0,0.0,23,0,2016-01-05 23:00:00,evening,0,0,1386.7400000000052
37075,2016,1,2,5,23.75,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6,6,82.0,81.17999999999999,0.0,36194.87,36909.33,0.876,1,1,0.0,0.0,23,45,2016-01-05 23:45:00,evening,0,0,714.4599999999991
15067,2016,1,2,6,14.25,0,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,6,5,89.0,88.11,0.0,55032.96,56803.47,0.92,1,2,0.0,0.0,14,15,2016-01-06 14:15:00,afternoon,1,0,1770.510000000002
22280,2016,1,2,6,14.75,0,3,2,0,0,1,0,1,0,1,0,1,0,40,0,1,0,1,3,3,60.0,59.4,0.0,28742.44,29668.86,0.842,3,2,0.0,0.0,14,45,2016-01-06 14:45:00,afternoon,40,1,926.4200000000019
31318,2016,1,2,6,15.25,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6,6,73.9,73.161,0.0,41259.0,42509.89,0.918,1,1,0.0,0.0,15,15,2016-01-06 15:15:00,afternoon,0,0,1250.8899999999994
13181,2016,1,2,6,16.0,1,4,2,0,0,1,0,0,0,0,0,1,0,30,0,0,0,1,6,3,60.0,59.4,0.0,40141.59,40833.24,0.898,5,2,0.0,0.0,16,0,2016-01-06 16:00:00,afternoon,30,0,691.6500000000015
11139,2016,1,2,6,16.25,0,4,2,0,0,1,0,0,0,0,0,1,0,4,0,0,0,1,6,6,89.0,88.11,0.0,36194.87,36909.33,0.876,4,2,0.0,0.0,16,15,2016-01-06 16:15:00,afternoon,4,0,714.4599999999991
14322,2016,1,2,6,17.0,0,1,2,0,0,1,0,0,0,0,0,1,0,4,1,0,0,0,6,6,86.0,85.14,0.0,16358.39,15813.86,0.757,1,2,0.0,0.0,17,0,2016-01-06 17:00:00,afternoon,4,0,-544.5299999999988
35392,2016,1,2,6,18.5,1,4,2,0,0,1,1,1,0,1,0,1,0,100,0,1,0,1,3,3,99.0,98.01,0.0,28742.44,29668.86,0.842,5,2,0.0,0.0,18,30,2016-01-06 18:30:00,evening,100,1,926.4200000000019
10909,2016,1,2,6,18.75,0,3,2,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,6,6,84.0,83.16,0.0,33525.74,34912.48,0.885,3,2,0.0,0.0,18,45,2016-01-06 18:45:00,evening,2,0,1386.7400000000052
24909,2016,1,2,6,19.5,0,2,2,0,0,1,0,0,0,0,0,1,0,24,1,1,0,1,6,6,115.5,114.345,0.0,16358.39,15813.86,0.757,2,2,0.0,0.0,19,30,2016-01-06 19:30:00,evening,24,0,-544.5299999999988
27779,2016,1,2,6,19.75,0,2,0,2,0,1,0,0,0,0,0,1,0,33,0,1,0,1,5,5,6.0,5.94,0.0,16358.39,15813.86,0.757,2,2,1.0,0.0,19,45,2016-01-06 19:45:00,evening,33,0,-544.5299999999988
33942,2016,1,2,6,20.0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6,6,79.0,78.21,0.0,33525.74,34912.48,0.885,2,1,0.0,0.0,20,0,2016-01-06 20:00:00,evening,0,0,1386.7400000000052
19681,2016,1,2,6,20.75,2,9,2,0,0,1,0,1,0,1,0,0,0,57,0,1,0,1,3,3,95.0,94.05,0.0,28742.44,29668.86,0.842,11,2,0.0,0.0,20,45,2016-01-06 20:45:00,evening,57,1,926.4200000000019
15320,2016,1,2,6,21.75,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,6,85.0,84.15,0.0,28742.44,29668.86,0.842,1,2,0.0,0.0,21,45,2016-01-06 21:45:00,evening,0,0,926.4200000000019
30777,2016,1,2,6,22.75,0,1,2,0,0,0,0,3,3,0,0,0,0,2,0,0,0,1,6,6,75.0,74.25,0.0,28742.44,29668.86,0.842,1,2,0.0,0.0,22,45,2016-01-06 22:45:00,evening,2,1,926.4200000000019
38052,2016,1,2,6,23.25,0,2,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,6,6,45.0,44.55,0.0,28742.44,29668.86,0.842,2,1,0.0,0.0,23,15,2016-01-06 23:15:00,evening,0,0,926.4200000000019
31746,2016,1,2,7,16.0,2,4,2,0,0,1,0,0,0,0,0,1,0,41,0,1,0,1,6,3,86.07,85.2093,0.0,13090.48,13185.25,0.692,6,2,0.0,0.0,16,0,2016-01-07 16:00:00,afternoon,41,0,94.77000000000044
39296,2016,1,2,7,18.0,0,1,1,0,0,1,0,3,3,0,0,1,1,1,0,0,0,1,6,3,45.0,44.55,0.0,28742.44,29668.86,0.842,1,1,0.0,0.0,18,0,2016-01-07 18:00:00,evening,1,1,926.4200000000019
37765,2016,1,2,7,18.5,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,5,5,6.0,5.94,0.0,40141.59,40833.24,0.898,1,2,1.0,0.0,18,30,2016-01-07 18:30:00,evening,0,0,691.6500000000015
27227,2016,1,2,7,18.75,0,3,2,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,5,5,77.25,76.4775,0.0,41259.0,42509.89,0.918,3,2,0.0,0.0,18,45,2016-01-07 18:45:00,evening,2,0,1250.8899999999994
21481,2016,1,2,7,21.0,0,3,2,0,0,1,0,0,0,0,0,1,1,2,0,0,0,1,5,5,77.25,76.4775,0.0,5682.73,6133.89,0.627,3,2,0.0,0.0,21,0,2016-01-07 21:00:00,evening,2,0,451.16000000000076
35429,2016,1,2,7,21.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6,3,45.0,44.55,0.0,28742.44,29668.86,0.842,1,1,0.0,0.0,21,0,2016-01-07 21:00:00,evening,0,0,926.4200000000019
35874,2016,1,2,7,21.25,0,1,2,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,6,6,75.0,74.25,0.0,33525.74,34912.48,0.885,1,2,0.0,0.0,21,15,2016-01-07 21:15:00,evening,5,0,1386.7400000000052
36109,2016,1,2,7,21.5,0,1,1,0,0,0,0,2,2,0,0,0,0,1,0,1,0,1,6,6,65.0,64.35,0.0,28742.44,29668.86,0.842,1,1,0.0,0.0,21,30,2016-01-07 21:30:00,evening,1,1,926.4200000000019
15079,2016,1,2,7,21.5,1,3,2,0,0,1,0,0,0,0,0,1,0,23,0,2,0,1,6,6,87.0,86.13,0.0,36194.87,36909.33,0.876,4,2,0.0,0.0,21,30,2016-01-07 21:30:00,evening,23,0,714.4599999999991
14095,2016,1,2,7,22.25,2,3,2,0,0,1,0,0,0,0,0,1,0,12,0,0,0,1,6,6,87.0,86.13,0.0,40141.59,40833.24,0.898,5,2,0.0,0.0,22,15,2016-01-07 22:15:00,evening,12,0,691.6500000000015
36396,2016,1,2,7,22.5,0,1,1,0,0,0,0,3,3,0,0,0,0,1,0,0,0,1,6,6,65.0,64.35,0.0,28742.44,29668.86,0.842,1,1,0.0,0.0,22,30,2016-01-07 22:30:00,evening,1,1,926.4200000000019
30182,2016,1,2,8,14.0,0,1,2,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,6,6,67.5,66.825,0.0,12561.25,12944.82,0.745,1,2,0.0,0.0,14,0,2016-01-08 14:00:00,afternoon,3,0,383.5699999999997
11348,2016,1,2,8,15.25,0,2,2,0,0,1,0,0,0,0,0,1,0,4,0,1,0,1,6,6,87.0,86.13,0.0,40141.59,40833.24,0.898,2,2,0.0,0.0,15,15,2016-01-08 15:15:00,afternoon,4,0,691.6500000000015
26931,2016,1,2,8,16.75,0,2,2,0,0,0,0,11,0,11,0,1,0,1,0,0,0,0,6,6,67.5,66.825,0.0,16358.39,15813.86,0.757,2,2,0.0,0.0,16,45,2016-01-08 16:45:00,afternoon,1,1,-544.5299999999988
10902,2016,1,2,8,18.25,1,2,2,0,0,1,0,0,0,0,0,1,0,32,0,1,0,1,6,3,58.0,57.42,0.0,28742.44,29668.86,0.842,3,2,0.0,0.0,18,15,2016-01-08 18:15:00,evening,32,0,926.4200000000019
18488,2016,1,2,8,18.75,8,22,2,0,0,1,0,1,0,1,0,0,0,21,0,0,0,1,6,6,52.5,51.975,0.0,28742.44,29668.86,0.842,30,2,0.0,0.0,18,45,2016-01-08 18:45:00,evening,21,1,926.4200000000019
